seed,run,split,i,B,K,xi,gamma,C,C_acc_train,C_acc_test,C_gap_acc,C_auroc_train,C_auroc_test,C_gap_auroc,C_auprc_train,C_auprc_test,C_gap_auprc,C_hinge_gap,C_J_w,C_J_xi
43,1,2,12,5,3,1,1.2,31,0.875,0.7933333333333333,0.08166666666666667,0.957070707070707,0.8815970832777554,0.07547362379295153,0.9507572220807514,0.8944238959596684,0.056333326121082994,0.20769787707687082,88.64992817339783,10.797702586095465
43,1,2,13,5,3,1,1.3,31,0.875,0.79,0.08499999999999996,0.9595959595959596,0.8825752523231515,0.07702070727280808,0.9547254760490054,0.8960534115462115,0.05867206450279383,0.2134420451448295,85.35695379947725,10.663167986018802
43,1,2,14,5,3,1,1.4,31,0.875,0.79,0.08499999999999996,0.9595959595959596,0.8821750922591259,0.07742086733683362,0.9547254760490054,0.8952877003471218,0.05943777570188358,0.21838692847604724,80.79246673243895,10.606013370684556
43,1,2,15,5,3,1,1.5,31,0.875,0.7866666666666666,0.08833333333333337,0.9595959595959596,0.8814192343604108,0.07817672523554875,0.9547254760490054,0.894588182477108,0.06013729357189734,0.22439870419328012,77.2065082338282,10.544980316169134
43,1,2,16,5,3,1,1.6,31,0.875,0.7866666666666666,0.08833333333333337,0.9595959595959596,0.8792850473522743,0.08031091224368525,0.9547254760490054,0.89285796391741,0.06186751213159536,0.2318580142681721,73.75970549429226,10.498862490775618
43,1,2,17,5,3,1,1.7,31,0.875,0.7866666666666666,0.08833333333333337,0.9595959595959596,0.8779511804721889,0.08164477912377066,0.9547254760490054,0.8910480949385919,0.06367738111041343,0.24008111210327454,70.94694071629834,10.446227325122303
43,1,2,18,5,3,1,1.8,31,0.875,0.7866666666666666,0.08833333333333337,0.962121212121212,0.8732826463918901,0.08883856572932192,0.9579662167897461,0.8856551985368025,0.07231101825294362,0.24926586410063595,68.65759095709882,10.386682714755137
43,1,2,19,5,3,1,1.9,31,0.875,0.7866666666666666,0.08833333333333337,0.962121212121212,0.8698145925036681,0.09230661961754394,0.9579662167897461,0.8812138570708501,0.07675235971889605,0.25903470081389474,66.71579832253572,10.323245457025035
43,1,2,20,5,3,1,2.0,31,0.875,0.7833333333333333,0.09166666666666667,0.9494949494949494,0.867324707660842,0.08217024183410737,0.9259593428969074,0.8778517324657158,0.048107610431191605,0.2650136624313413,64.91309008818047,10.262530158599933
43,1,2,21,5,3,1,2.1,31,0.85,0.7833333333333333,0.06666666666666665,0.9494949494949494,0.8639455782312926,0.0855493712636568,0.9259593428969074,0.8735470027688788,0.052412340128028645,0.2722048604256637,63.49144840235025,10.195390204805749
43,1,2,22,5,3,1,2.2,31,0.85,0.7866666666666666,0.06333333333333335,0.9494949494949494,0.86083322217776,0.08866172731718935,0.9259593428969074,0.8698186455661354,0.05614069733077198,0.28021208568632555,62.406749592053245,10.121551241086115
43,1,2,23,5,3,1,2.3,31,0.85,0.78,0.06999999999999995,0.9494949494949494,0.8566982348494954,0.09279671464545403,0.9259593428969074,0.8640918620565133,0.06186748084039406,0.28896723461804075,61.583685710893924,10.042187894882447
43,1,2,24,5,3,1,2.4,31,0.85,0.7866666666666666,0.06333333333333335,0.9494949494949494,0.8535858787959629,0.09590907069898646,0.9259593428969074,0.8595970520312565,0.06636229086565093,0.29770819681860455,60.71797229248499,9.966907057587722
43,1,2,25,5,3,1,2.5,31,0.85,0.78,0.06999999999999995,0.9494949494949494,0.8495398159263705,0.09995513356857888,0.9259593428969074,0.8534220065292719,0.07253733636763549,0.3070577648673247,60.11694440904752,9.885416201841366
43,1,2,26,5,3,1,2.6,31,0.85,0.78,0.06999999999999995,0.9494949494949494,0.8455826775154506,0.10391227197949882,0.9259593428969074,0.8478715751919815,0.07808776770492587,0.3174785115112978,59.769457238950636,9.797162888427122
43,1,2,27,5,3,1,2.7,31,0.85,0.77,0.07999999999999996,0.9494949494949494,0.8410030678938243,0.1084918816011251,0.9259593428969074,0.8419205403241661,0.08403880257274132,0.3283971041083249,59.658487709626925,9.701988673705056
43,1,2,28,5,3,1,2.8,31,0.85,0.76,0.08999999999999997,0.9494949494949494,0.8358899115201637,0.11360503797478572,0.9259593428969074,0.8352658677776517,0.09069347511925574,0.3396398620418919,59.770066166538385,9.599779163814777
43,1,2,29,5,3,1,2.9,31,0.875,0.7433333333333333,0.1316666666666667,0.9494949494949494,0.8293095015784091,0.12018544791654029,0.9259593428969074,0.8278968574006991,0.09806248549620833,0.3513037315421776,60.091479875949574,9.49049685881257
43,1,3,0,5,3,1,0.0,31,0.525,0.49,0.03500000000000003,0.5,0.5,0.0,0.475,0.51,-0.03500000000000003,0.06999996077103376,0.0,38.0000011208276
43,1,3,1,5,3,1,0.1,31,0.75,0.6833333333333333,0.06666666666666665,0.8847117794486216,0.747009915077142,0.13770186437147958,0.8938309508107852,0.7493671515460247,0.1444637992647605,0.19292925442984998,147.0329117761641,21.43476434169711
43,1,3,2,5,3,1,0.2,31,0.85,0.8066666666666666,0.043333333333333335,0.9473684210526316,0.8904450669156552,0.05692335413697647,0.9426018648941086,0.8924449234260226,0.050156941468086025,0.14666445972804915,168.1778767687959,14.77324568917264
43,1,3,3,5,3,1,0.3,31,0.875,0.7966666666666666,0.07833333333333337,0.9598997493734336,0.8934240362811791,0.06647571309225453,0.9575986219326507,0.8929903057351906,0.0646083161974601,0.16747836029779228,134.17592161293075,12.95935789131492
43,1,3,4,5,3,1,0.4,31,0.9,0.7933333333333333,0.10666666666666669,0.9824561403508772,0.8778622560135165,0.10459388433736072,0.9820196424074541,0.8712583591086547,0.11076128329879942,0.2528228369252006,174.58187401037353,9.518219991704065
43,1,3,5,5,3,1,0.5,31,0.9,0.7966666666666666,0.10333333333333339,0.987468671679198,0.8764839269040949,0.11098474477510312,0.9868003341687552,0.8694731266926495,0.1173272074761057,0.26303439792629507,138.01351220170025,9.203518844219394
43,1,3,6,5,3,1,0.6,31,0.925,0.78,0.14500000000000002,0.9924812030075187,0.8696367435863234,0.12284445942119537,0.9916743613419514,0.8667409761900156,0.12493338515193586,0.28997807972547207,122.8298456739011,8.795922654896792
43,1,3,7,5,3,1,0.7,31,0.925,0.7766666666666666,0.14833333333333343,0.9949874686716791,0.8602107509670536,0.13477671770462551,0.9945983379501385,0.862374415831905,0.13222392211823353,0.33483873535302977,130.88335247808607,7.824699639937384
43,1,3,8,5,3,1,0.8,31,0.95,0.7766666666666666,0.17333333333333334,0.9924812030075187,0.8609666088657686,0.13151459414175015,0.9922173855691861,0.8650735220373824,0.12714386353180374,0.360895182435704,141.54962980202788,6.863317527933799
43,1,3,9,5,3,1,0.9,31,0.95,0.77,0.17999999999999994,0.9924812030075187,0.8613667689297941,0.1311144340777246,0.9922173855691861,0.8652342115168588,0.1269831740523274,0.38822727855719663,147.67994987011457,6.120403601650506
43,1,3,10,5,3,1,1.0,31,0.925,0.76,0.16500000000000004,0.9924812030075187,0.8598995153617002,0.13258168764581857,0.9922173855691861,0.8640589063786377,0.12815847919054846,0.4126673135177368,150.80077076304246,5.54211783543828
43,1,3,11,5,3,1,1.1,31,0.925,0.76,0.16500000000000004,0.9899749373433584,0.8569650082255125,0.13300992911784593,0.9897243107769423,0.8617577280255813,0.12796658275136108,0.42338172907039145,141.6343550600363,5.442813864381282
43,1,3,12,5,3,1,1.2,31,0.925,0.76,0.16500000000000004,0.9899749373433584,0.8564314614734783,0.13354347586988013,0.9897243107769423,0.8610534918144799,0.12867081896246246,0.4259628768795297,133.5270093026115,5.3852837568577385
43,1,3,13,5,3,1,1.3,31,0.925,0.7566666666666667,0.16833333333333333,0.9899749373433584,0.8564759237028146,0.13349901364054384,0.9897243107769423,0.8610413638788588,0.12868294689808357,0.42660100461952966,126.8055307921288,5.35133411213264
43,1,3,14,5,3,1,1.4,31,0.925,0.7633333333333333,0.16166666666666674,0.9924812030075187,0.8561202258681251,0.13636097713939366,0.9922173855691861,0.8601615257088581,0.13205585986032808,0.4279143934342089,121.73095291034322,5.3095650965311805
43,1,3,15,5,3,1,1.5,31,0.95,0.7633333333333333,0.18666666666666665,0.9924812030075187,0.8532746431906096,0.1392065598169091,0.9922173855691861,0.85658233975474,0.1356350458144462,0.4343166965172121,117.73366198860563,5.2609347947364355
43,1,3,16,5,3,1,1.6,31,0.925,0.76,0.16500000000000004,0.9924812030075187,0.8501178249077409,0.14236337809977784,0.9922173855691861,0.8518024310509651,0.14041495451822106,0.44533181720143367,114.57831506071972,5.199930330534279
43,1,3,17,5,3,1,1.7,31,0.925,0.7533333333333333,0.17166666666666675,0.9949874686716791,0.8476279400649148,0.14735952860676427,0.9945983379501385,0.8483370256863538,0.1462613122637847,0.4590800330635167,112.02518525251085,5.129106418990766
43,1,3,18,5,3,1,1.8,31,0.925,0.75,0.17500000000000004,0.9949874686716791,0.8434929527366503,0.15149451593502883,0.9945983379501385,0.8438833952652636,0.15071494268487495,0.4701745747740598,110.107770012659,5.044779905002269
