run,i,B,K,xi,gamma,C,C_acc_train,C_acc_test,C_gap_acc,C_auroc_train,C_auroc_test,C_gap_auroc,C_auprc_train,C_auprc_test,C_gap_auprc,C_hinge_gap,C_J_w,C_J_xi,Q_acc_test_max,Q_auroc_test_max,Q_auprc_test_max,Q_acc_train_max,Q_auroc_train_max,Q_auprc_train_max,Q_gap_acc_max,Q_gap_auroc_max,Q_gap_auprc_max,Q_hinge_gap_min,Q_J_w_max,Q_J_w_min,Q_J_w_mean,Q_J_xi_max,Q_J_xi_min,Q_J_xi_mean
2,10,5,3,1,1.0,31,0.94,0.8,0.1399999999999999,0.9792,0.8856888888888889,0.0935111111111111,0.9730285615567484,0.850738510602184,0.12229005095456447,0.2814507240963103,124.71810226269153,9.457329041394205,0.8266666666666667,0.9143111111111111,0.9028617021104005,0.9,0.9728,0.9733217391304348,0.19333333333333336,0.1591111111111112,0.2218507863974577,0.3329860376791724,548.7387324555984,230.18526746768632,366.16573106777685,34.402270688501794,11.514116803076138,21.463886235249653
2,11,5,3,1,1.1,31,0.92,0.8,0.12,0.9792,0.8871111111111111,0.09208888888888889,0.9730285615567484,0.8526020327421364,0.12042652881461202,0.28360635914711596,126.50904534724759,9.233637894482877,0.8266666666666667,0.896,0.884822217669182,0.96,0.9792000000000001,0.9795943360986841,0.17333333333333334,0.12248888888888887,0.17729937396561501,0.44447099486626906,440.5557167209922,249.0773117464494,361.1705777326729,29.89051583939133,9.492328704294128,16.536212850480133
2,12,5,3,1,1.2,31,0.92,0.8,0.12,0.9792,0.8846222222222223,0.09457777777777765,0.9730285615567484,0.8492694788533237,0.12375908270342473,0.28566036203891254,118.29981224761431,9.220003327531149,0.8133333333333334,0.8942222222222224,0.8852659021131681,0.96,0.9808,0.982052400614813,0.22666666666666668,0.20640000000000003,0.27879880730672413,0.41553717626888226,516.4868869693025,204.2630961842799,389.88942385050484,36.79842028759364,11.04840167296189,18.90947023953395
2,13,5,3,1,1.3,31,0.92,0.7933333333333333,0.1266666666666667,0.9808,0.8856888888888889,0.09511111111111115,0.9758857044138913,0.8435994545730868,0.1322862498408045,0.292414065555887,118.94212918613239,8.822718594826604,0.84,0.9240888888888888,0.9077955725572511,0.96,0.9776,0.9733493293510458,0.19333333333333336,0.14737777777777772,0.19022123797490387,0.4357326046881254,482.36505805082135,278.4076266728891,386.1592092201982,27.56498975584399,9.27542496864481,18.190765143107427
2,14,5,3,1,1.4,31,0.94,0.8,0.1399999999999999,0.9808,0.8849777777777779,0.09582222222222214,0.9758857044138913,0.842262779968217,0.13362292444567436,0.3001153904168513,120.95412781910287,8.440379115367996,0.8066666666666666,0.8887111111111111,0.8724239317597224,0.94,0.9792,0.9788043101939575,0.15333333333333332,0.15128888888888903,0.23033492386466392,0.4093176643522713,465.0199484985666,209.78236101181778,367.12281493542605,29.320431444007355,11.285178632622896,18.299755252059594
2,15,5,3,1,1.5,31,0.94,0.8,0.1399999999999999,0.9808,0.8833777777777778,0.09742222222222219,0.9758857044138913,0.8398925854237905,0.1359931189901008,0.3076483138485647,115.22847399186671,8.380810973885037,0.8266666666666667,0.8920888888888889,0.8968849907705533,0.94,0.9792000000000001,0.9804903067946547,0.18666666666666665,0.14631111111111106,0.23498083645219903,0.5716758386887102,472.3934024648371,283.71129592625385,372.5032543822043,21.838725859028962,9.565681359947023,15.540680835303672
2,16,5,3,1,1.6,31,0.94,0.8,0.1399999999999999,0.9808,0.8785777777777778,0.10222222222222221,0.9758857044138913,0.8348174596929117,0.14106824472097967,0.31890304074558784,110.5819572819053,8.289771775016389,0.8333333333333334,0.9132444444444444,0.8925306167076897,0.94,0.976,0.9758555922452395,0.23333333333333328,0.1996444444444444,0.22364566101805816,0.3041401753349379,420.6573321817774,246.5959691734659,335.09313743937275,24.02332582108097,9.635085829656228,17.110769366209574
2,17,5,3,1,1.7,31,0.94,0.7933333333333333,0.1466666666666666,0.9808,0.8741333333333333,0.10666666666666669,0.9758857044138913,0.8287919435479508,0.1470937608659405,0.3319903799571792,106.94611507565918,8.165245783816175,0.8533333333333334,0.9118222222222223,0.9055062069459194,0.96,0.9823999999999999,0.9816487546384021,0.15999999999999992,0.14755555555555566,0.2104177972707003,0.4645880054535013,403.9209861351855,212.89234391349152,322.9164923608731,33.528681320553225,7.972254012322987,19.90514941773808
2,18,5,3,1,1.8,31,0.94,0.7933333333333333,0.1466666666666666,0.9792,0.8712888888888889,0.10791111111111107,0.9730285615567484,0.833111728624413,0.13991683293233548,0.3432652947744218,104.06377203041191,7.973678048235762,0.8266666666666667,0.908088888888889,0.8974755762093585,0.94,0.9663999999999999,0.9609208052330005,0.19333333333333325,0.2255999999999999,0.31550026984643553,0.4400168498758838,415.8053938625999,171.4206246502813,308.0867235681617,29.344874752624243,11.588514518119306,20.474604656223015
2,19,5,3,1,1.9,31,0.94,0.7866666666666666,0.15333333333333332,0.9792,0.8672000000000001,0.11199999999999988,0.9730285615567484,0.8323653687622186,0.14066319279452988,0.34909609638307865,102.01234217574859,7.967228486235931,0.8266666666666667,0.9015111111111112,0.904755374545188,0.94,0.976,0.9762064988151945,0.17333333333333334,0.18648888888888893,0.24500939703217073,0.32561237066644577,430.22896963726396,173.48667034234842,326.36641478990583,37.95584158357395,12.457159373864927,19.130913807760805
